Date(timestamp),0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1391875200,48,42.1,47.5,40.4,39.4,43.1,31,42.2,54,87.2,90.3,108,112.8,125.4,122.3,147.8,146.4,137.2,149.5,152.2,139.4,119.2,97.8,81.3
1391961600,67.5,56.4,58.5,52,52,51.3,51.3,51.3,49.9,49.9,49.9,49.9,116.3,125.4,121.2,118.3,128.4,133.2,123.8,134.5,134.5,145.1,126.4,107
1392048000,71.5,71.5,44,44,44,44,50.4,50.4,50.4,50.4,81.7,81.7,81.7,81.7,81.7,129.9,129.9,120.5,131.6,149.1,149.1,149.2,118.1,118.1
1392739200,64.5,54.2,52.2,53,52.5,41.3,52.4,50.4,62.3,106.4,106.4,102,105.4,95.5,111.8,107.9,112.4,135.9,135.3,168.6,140.1,152.9,115.6,82.9
1392825600,56.7,37.6,38.8,36.2,32.7,41.4,40.3,43,67.3,90.9,90.9,93.1,95.1,87,94.9,92.2,92.2,92.2,92.2,92.2,138,141.5,106.4,81.3
1392912000,53.2,40.8,36.5,39.1,37.1,36.7,47.8,52.1,51.9,87.9,87.9,109.2,96.7,94.2,99.4,85.9,94.1,94.4,96.8,106.3,112.1,122.4,93.5,69.9
1392998400,57,32.7,36.1,30.7,30.9,29.2,30.6,37.8,54.6,79,79,79.1,83.3,83.5,85,94.9,85.1,87.9,97.9,116.3,98.6,101.9,76.2,63.2
1393084800,41.7,31.1,28.9,24.6,27.6,26.8,32.3,36.3,54.3,91.1,91.1,90.7,85.3,92,98.3,95.3,92.6,86.5,83,114.3,113.6,106.7,79.3,68.3
1393171200,36.3,33.8,33.8,31.9,30.9,29.5,29.5,29.5,29.5,95.1,95.1,89.8,109.2,99.8,98.8,102,105.8,97.9,95.3,109.2,108.8,101,81.8,60.6
1393257600,41,41.5,38.6,35.3,32.9,35.7,32.8,43.5,56.7,74.1,74.1,84.7,86.6,89.1,95.4,97.2,92.4,107.4,87.8,110.8,92.1,92.9,71.6,56.8
1393344000,48.2,34.2,33.6,36.1,33.6,35.4,40.7,56.5,69.7,80.3,80.3,75.2,77.9,76.9,71.6,68.4,67.9,87.2,83.5,103.7,98,105.5,83.7,47
1393430400,37.3,31.4,28.1,28.5,30,34.2,42.6,54.1,69.7,84.5,84.5,75.9,65.6,74,74.3,75.4,82.8,79.3,95.3,104.7,101.4,95.2,74.9,52.7
1393516800,44.7,29.2,30.3,28.6,29.6,31.9,37.3,41.8,54.7,81.5,81.5,81.1,77.3,71.7,73.3,88.5,75.6,95.6,88.3,113.8,113.4,97.3,78,66.8
1393603200,41.7,31.7,29,29.9,32.5,32.9,35.7,47.1,54.5,73.2,73.2,89.9,82.8,94.9,81.3,113.8,96.3,90.3,115.5,112.8,113.5,100.7,76.1,61.2
1393689600,44.9,34.7,31.4,34.9,34.6,43,40.8,58.6,74.5,94.4,94.4,85.3,81.9,82.6,89.9,94.9,97.3,81.6,89.6,102.7,90.8,109.6,90.5,57
1393776000,46.3,34.9,25.1,22.9,28.1,36.1,33.4,45.6,65.6,93.7,93.7,79.7,88.4,86.5,81.6,77.4,69.2,79.9,84.6,115.6,92.7,99.3,82.7,44.3
1393862400,35.6,34.3,28.8,25.1,23.6,26.8,36.1,39.2,49.2,77.5,77.5,72.6,84,77.1,78.3,73,70.1,66.4,81.9,99.7,120,113.3,67.5,55.8
1393948800,50.9,30.3,21.1,21.1,22.5,22.5,22.5,22.5,22.5,67.9,69.5,82.4,71.6,73.1,83,73.8,78,76.8,97.2,96.1,105.2,93.3,84.9,47.2
1394035200,39.7,27.8,30.8,25.1,26.3,22.1,36.6,46.5,47.9,81.6,79.3,92,93.4,97.2,102.7,102,97.6,98.9,88.5,112.9,109.8,109.7,93.2,58.1
1394121600,51.5,33.6,26.7,30.2,26.2,32.6,32.6,47,67.4,89,89.7,100,92.8,87.2,98.6,89,102.4,94.3,91.2,117.1,109.5,103.4,85.1,70.1
1394208000,57.4,42.9,26.2,24.7,24.1,25,29.6,34.2,56.9,94.9,76.2,76.2,76.2,76.2,100.5,100.2,116.8,104.3,94.4,126.7,137.8,116.6,103.1,76.6
1394294400,57.7,33.1,28.5,28.4,25.7,29.2,35.2,32.8,46.2,79.5,67.9,67.9,79.9,79.9,82.3,83.7,96.5,96.1,97.5,107.2,113.4,111.6,73.8,57.6
1394380800,51.7,34.5,27.6,22.6,22.9,29.6,32.4,35.9,52.4,95.2,95.2,73.2,75.8,75.8,77.5,80.1,72.5,89.5,78.8,102.2,112.6,87.9,73.1,62.9
1394467200,44,37.6,32.4,36,31.9,32.9,41.3,53.4,63.7,72.1,56.6,78.4,56.2,56.2,67.9,69.6,64.3,81.5,88.3,101.5,114.2,83.9,76.7,46.7
1394553600,42,29.1,25.1,26.3,21.5,23.7,36.3,40.9,46.8,68.6,58.9,64,68.7,68.7,76.3,73.1,74.1,88.7,90.5,93.3,106,85.6,66.8,42.1
1394640000,34.9,30.6,31.7,24.2,23.5,25.8,39.5,43.3,53.5,77.1,69,77.4,76,76,78,79,72.9,81.3,91.8,97.8,107.1,103.2,81.5,55.3
1394726400,38.3,26.1,28.6,29.4,28,26.8,47.8,47.9,50.9,78.2,65.3,72.2,64.4,64.4,64.2,80,77.6,73,81.8,96.2,96.9,99,72.3,46.7
